run_id,elem_type,quadrature_rule,step,omega,lambda,umax,newton_iterations,linear_iterations,newton_relres_end,newton_relcorr_end,attempt_count,branch_efficiency
p1_q01,P1,1,1,6094705.660537125,1.0,0.8078242034659595,,,,,,
p1_q01,P1,1,2,6106804.875143154,1.1,0.8222379335468787,,,,,,
p1_q01,P1,1,3,6118904.089749183,1.1575553265720877,0.8315972677132102,,,,,,
p1_q01,P1,1,4,6143102.518961241,1.2345664185476408,0.8508482051950516,,,,,,
p1_q01,P1,1,5,6167300.9481732985,1.2934022793747146,0.8745144899498309,,,,,,
p1_q01,P1,1,6,6215697.806597414,1.3882683115239085,0.9166025151745169,,,,,,
p1_q01,P1,1,7,6264094.66502153,1.4671071298934182,0.9548981120912828,,,,,,
p1_q01,P1,1,8,6360888.381869762,1.598725817747262,1.022658093919702,,,,,,
p1_q01,P1,1,9,6457682.098717994,1.7062274493981346,1.080025931726716,,,,,,
p1_q01,P1,1,10,6651269.532414458,1.8658975283208512,1.759773878359362,,,,,,
p1_q01,P1,1,11,6700000.0,1.899271569774563,2.042252355234863,,,,,,
p1_q04,P1,4,1,6094705.660537125,1.0,0.8078242034659595,,,,,,
p1_q04,P1,4,2,6106804.875143154,1.1,0.8222379335468785,,,,,,
p1_q04,P1,4,3,6118904.089749183,1.15755532657203,0.8315972677132212,,,,,,
p1_q04,P1,4,4,6143102.518961241,1.234566418547232,0.8508482051955334,,,,,,
p1_q04,P1,4,5,6167300.9481732985,1.293402279374789,0.8745144899515241,,,,,,
p1_q04,P1,4,6,6215697.806597414,1.3882683115239352,0.9166025151750308,,,,,,
p1_q04,P1,4,7,6264094.66502153,1.4671071298942548,0.9548981120831298,,,,,,
p1_q04,P1,4,8,6360888.381869762,1.5987258177470087,1.02265809392972,,,,,,
p1_q04,P1,4,9,6457682.098717994,1.7062274493977396,1.0800259317275822,,,,,,
p1_q04,P1,4,10,6651269.532414458,1.8658975283207195,1.759773878356406,,,,,,
p1_q04,P1,4,11,6700000.0,1.899271569774388,2.042252355323099,,,,,,
p1_q11,P1,11,1,6094705.660536918,1.0,0.8078242034659593,,,,,,
p1_q11,P1,11,2,6106804.875142948,1.1,0.8222379335468788,,,,,,
p1_q11,P1,11,3,6118904.089748978,1.1575553265722929,0.8315972677134509,,,,,,
p1_q11,P1,11,4,6143102.5189610375,1.2345664185485383,0.8508482051838249,,,,,,
p1_q11,P1,11,5,6167300.948173097,1.2934022793745656,0.874514489948458,,,,,,
p1_q11,P1,11,6,6215697.806597217,1.388268311523836,0.9166025151756002,,,,,,
p1_q11,P1,11,7,6264094.665021337,1.4671071298935356,0.9548981120994874,,,,,,
p1_q11,P1,11,8,6360888.381869576,1.598725817746907,1.0226580939216978,,,,,,
p1_q11,P1,11,9,6457682.098717815,1.7062274493981338,1.08002593172858,,,,,,
p1_q11,P1,11,10,6651269.532414294,1.8658975283199035,1.7597738782960242,,,,,,
p1_q11,P1,11,11,6700000.0,1.8992715697747569,2.0422523552276064,,,,,,
p1_q24,P1,24,1,6094705.660537127,1.0,0.807824203465959,,,,,,
p1_q24,P1,24,2,6106804.875143155,1.1,0.8222379335468779,,,,,,
p1_q24,P1,24,3,6118904.089749184,1.157555326572969,0.8315972677156371,,,,,,
p1_q24,P1,24,4,6143102.51896124,1.2345664185464995,0.850848205202988,,,,,,
p1_q24,P1,24,5,6167300.948173296,1.293402279375402,0.8745144899522685,,,,,,
p1_q24,P1,24,6,6215697.806597408,1.388268311524016,0.9166025151736982,,,,,,
p1_q24,P1,24,7,6264094.66502152,1.467107129890232,0.9548981121046975,,,,,,
p1_q24,P1,24,8,6360888.3818697445,1.5987258177465506,1.0226580939166143,,,,,,
p1_q24,P1,24,9,6457682.098717969,1.7062274493952947,1.0800259317415095,,,,,,
p1_q24,P1,24,10,6651269.532414418,1.865897528320344,1.7597738781026415,,,,,,
p1_q24,P1,24,11,6700000.0,1.899271569774826,2.042252355245762,,,,,,
p1_q45,P1,45,1,6094705.660537121,1.0,0.8078242034659597,,,,,,
p1_q45,P1,45,2,6106804.875143149,1.1,0.822237933546878,,,,,,
p1_q45,P1,45,3,6118904.089749177,1.1575553265714749,0.8315972677113482,,,,,,
p1_q45,P1,45,4,6143102.518961233,1.2345664185516052,0.8508482051574923,,,,,,
p1_q45,P1,45,5,6167300.948173289,1.2934022793751847,0.8745144899574119,,,,,,
p1_q45,P1,45,6,6215697.806597401,1.3882683115240837,0.9166025151687512,,,,,,
p1_q45,P1,45,7,6264094.665021514,1.4671071298936171,0.954898112082016,,,,,,
p1_q45,P1,45,8,6360888.381869738,1.598725817747774,1.0226580939151395,,,,,,
p1_q45,P1,45,9,6457682.098717962,1.7062274493977805,1.080025931727307,,,,,,
p1_q45,P1,45,10,6651269.532414411,1.8658975283208608,1.7597738783880512,,,,,,
p1_q45,P1,45,11,6700000.0,1.8992715697749205,2.042252355275796,,,,,,
p2_q04,P2,4,1,6215598.529738007,1.0,0.7975085304977114,,,,,,
p2_q04,P2,4,2,6230025.951774204,1.1,0.8154119731839699,,,,,,
p2_q04,P2,4,3,6244453.373810401,1.1605972430900813,0.8303091682450838,,,,,,
p2_q04,P2,4,4,6273308.217882795,1.2466572507204103,0.8549834611820134,,,,,,
p2_q04,P2,4,5,6302163.061955189,1.31386712455436,0.8742282821414634,,,,,,
p2_q04,P2,4,6,6359872.7500999775,1.422039125475992,0.9070034253647508,,,,,,
p2_q04,P2,4,7,6417582.438244766,1.5097257714999488,0.9371895762591584,,,,,,
p2_q04,P2,4,8,6533001.814534342,1.6079591767088148,1.5312727826325307,,,,,,
p2_q04,P2,4,9,6648421.190823918,1.6235045728555415,3.784281646192885,,,,,,
p2_q04,P2,4,10,6700000.0,1.627124110283827,4.862707422143277,,,,,,
p2_q11,P2,11,1,6214942.103875942,1.0,0.7966572987407926,,,,,,
p2_q11,P2,11,2,6229234.524843296,1.1,0.8149932596280445,,,,,,
p2_q11,P2,11,3,6243526.9458106505,1.1598844866317746,0.8298557227609243,,,,,,
p2_q11,P2,11,4,6272111.787745359,1.244967170607795,0.8546239212248581,,,,,,
p2_q11,P2,11,5,6300696.629680068,1.3114180459402154,0.8738398134323614,,,,,,
p2_q11,P2,11,6,6357866.313549486,1.418778640865138,0.9061903138825316,,,,,,
p2_q11,P2,11,7,6415035.997418904,1.5058030530383222,0.9357321779904868,,,,,,
p2_q11,P2,11,8,6529375.365157739,1.6085228984664477,1.4300975137554606,,,,,,
p2_q11,P2,11,9,6643714.732896575,1.6256371808195802,3.5801161182305665,,,,,,
p2_q11,P2,11,10,6700000.0,1.630021641972552,4.734628084357293,,,,,,
p2_q24,P2,24,1,6215090.684166521,1.0,0.7967732107304052,,,,,,
p2_q24,P2,24,2,6229215.04863296,1.1,0.8147084126007504,,,,,,
p2_q24,P2,24,3,6243339.413099399,1.1598938020978435,0.8293563918165757,,,,,,
p2_q24,P2,24,4,6271588.142032277,1.2443021963717278,0.8541798608766041,,,,,,
p2_q24,P2,24,5,6299836.870965155,1.3100361066125716,0.8733994809000892,,,,,,
p2_q24,P2,24,6,6356334.328830911,1.4161894766169645,0.9056419292047126,,,,,,
p2_q24,P2,24,7,6412831.786696667,1.503169560683007,0.9349225903744556,,,,,,
p2_q24,P2,24,8,6525826.702428179,1.6078411213326742,1.3770950699485045,,,,,,
p2_q24,P2,24,9,6638821.618159691,1.625510147347898,3.49327921997876,,,,,,
p2_q24,P2,24,10,6700000.0,1.6304148617005314,4.734964233689841,,,,,,
p2_q45,P2,45,1,6215071.893175706,1.0,0.7968323456601267,,,,,,
p2_q45,P2,45,2,6229273.384855617,1.1,0.8148480230708238,,,,,,
p2_q45,P2,45,3,6243474.876535527,1.1600731431532838,0.8295244804831379,,,,,,
p2_q45,P2,45,4,6271877.859895349,1.24510508143441,0.8542225925888857,,,,,,
p2_q45,P2,45,5,6300280.84325517,1.3111294742389714,0.8735838594668373,,,,,,
p2_q45,P2,45,6,6357086.809974812,1.4174571248868346,0.9061734766461188,,,,,,
p2_q45,P2,45,7,6413892.776694454,1.5046702690474176,0.9354453976743868,,,,,,
p2_q45,P2,45,8,6527504.710133739,1.6084111960497416,1.3998908066987352,,,,,,
p2_q45,P2,45,9,6641116.643573023,1.6257907332106227,3.5377095323004726,,,,,,
p2_q45,P2,45,10,6700000.0,1.6305011215135796,4.720778820544482,,,,,,
p4_q24,P4,24,1,6216689.536020599,1.0,0.7975083095202818,,,,,,
p4_q24,P4,24,2,6230832.807384944,1.1,0.815439449685166,,,,,,
p4_q24,P4,24,3,6244976.078749288,1.160365769587922,0.8293412226376937,,,,,,
p4_q24,P4,24,4,6273262.621477976,1.2459759507432435,0.8529475596838981,,,,,,
p4_q24,P4,24,5,6301549.164206665,1.3122385896474165,0.8717832718898972,,,,,,
p4_q24,P4,24,6,6358122.249664042,1.4180251843792382,0.9040246467019762,,,,,,
p4_q24,P4,24,7,6414695.335121419,1.5032056133292355,0.9318741918556762,,,,,,
p4_q24,P4,24,8,6527841.506036174,1.5655287354081908,2.3150238906279466,,,,,,
p4_q24,P4,24,9,6700000.0,1.5682689099557034,6.594742864652868,,,,,,
p4_q45,P4,45,1,6216728.332395667,1.0,0.7974849620838982,,,,,,
p4_q45,P4,45,2,6230746.837064443,1.1,0.8152668722361962,,,,,,
p4_q45,P4,45,3,6244765.341733219,1.1599446184522626,0.8292903252185745,,,,,,
p4_q45,P4,45,4,6272802.351070771,1.2450622016597075,0.8531274150040508,,,,,,
p4_q45,P4,45,5,6300839.360408323,1.3108454246829118,0.8711866553349907,,,,,,
p4_q45,P4,45,6,6356913.379083427,1.4160916262776346,0.9030737341322302,,,,,,
p4_q45,P4,45,7,6412987.39775853,1.5009616756680086,0.9315306164387822,,,,,,
p4_q45,P4,45,8,6525135.435108738,1.6335999139833308,0.9895141798753336,,,,,,
p4_q45,P4,45,9,6637283.472458946,1.575146992619232,4.519055146790149,,,,,,
p4_q45,P4,45,10,6700000.0,1.5734398638500362,6.0313269341123235,,,,,,
