step,omega,lambda,umax
1,6216728.332395667,1.0,0.7974849620838982
2,6230746.837064443,1.1,0.8152668722361962
3,6244765.341733219,1.1599446184522626,0.8292903252185745
4,6272802.351070771,1.2450622016597075,0.8531274150040508
5,6300839.360408323,1.3108454246829118,0.8711866553349907
6,6356913.379083427,1.4160916262776346,0.9030737341322302
7,6412987.39775853,1.5009616756680086,0.9315306164387822
8,6525135.435108738,1.6335999139833308,0.9895141798753336
9,6637283.472458946,1.575146992619232,4.519055146790149
10,6700000.0,1.5734398638500362,6.0313269341123235
