quadrature_rule,point_id,x,y,z,lambda_origin,weight,weight_abs,weight_sign
1,1,0.25,0.25,0.25,0.25,0.16666666666666666,0.16666666666666666,positive
4,1,0.1381966011250105,0.1381966011250105,0.1381966011250105,0.5854101966249685,0.041666666666666664,0.041666666666666664,positive
4,2,0.5854101966249685,0.1381966011250105,0.1381966011250105,0.13819660112501042,0.041666666666666664,0.041666666666666664,positive
4,3,0.1381966011250105,0.5854101966249685,0.1381966011250105,0.13819660112501042,0.041666666666666664,0.041666666666666664,positive
4,4,0.1381966011250105,0.1381966011250105,0.5854101966249685,0.13819660112501042,0.041666666666666664,0.041666666666666664,positive
11,1,0.25,0.25,0.25,0.25,-0.013155555555555,0.013155555555555,negative
11,2,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.7857142857142858,0.007622222222222,0.007622222222222,positive
11,3,0.785714285714286,0.0714285714285714,0.0714285714285714,0.07142857142857117,0.007622222222222,0.007622222222222,positive
11,4,0.0714285714285714,0.785714285714286,0.0714285714285714,0.07142857142857117,0.007622222222222,0.007622222222222,positive
11,5,0.0714285714285714,0.0714285714285714,0.785714285714286,0.07142857142857117,0.007622222222222,0.007622222222222,positive
11,6,0.399403576166799,0.100596423833201,0.100596423833201,0.399403576166799,0.024888888888888,0.024888888888888,positive
11,7,0.100596423833201,0.399403576166799,0.100596423833201,0.399403576166799,0.024888888888888,0.024888888888888,positive
11,8,0.100596423833201,0.100596423833201,0.399403576166799,0.399403576166799,0.024888888888888,0.024888888888888,positive
11,9,0.399403576166799,0.399403576166799,0.100596423833201,0.100596423833201,0.024888888888888,0.024888888888888,positive
11,10,0.399403576166799,0.100596423833201,0.399403576166799,0.100596423833201,0.024888888888888,0.024888888888888,positive
11,11,0.100596423833201,0.399403576166799,0.399403576166799,0.100596423833201,0.024888888888888,0.024888888888888,positive
24,1,0.3561913862225449,0.2146028712591517,0.2146028712591517,0.21460287125915167,0.0066537917096946494,0.0066537917096946494,positive
24,2,0.2146028712591517,0.2146028712591517,0.2146028712591517,0.35619138622254487,0.0066537917096946494,0.0066537917096946494,positive
24,3,0.2146028712591517,0.2146028712591517,0.3561913862225449,0.21460287125915167,0.0066537917096946494,0.0066537917096946494,positive
24,4,0.2146028712591517,0.3561913862225449,0.2146028712591517,0.21460287125915167,0.0066537917096946494,0.0066537917096946494,positive
24,5,0.877978124396166,0.0406739585346113,0.0406739585346113,0.04067395853461142,0.0016795351758867834,0.0016795351758867834,positive
