run_id,elem_type,quadrature_rule,omega_target,status,returncode,timed_out,runtime_seconds_wall,runtime_seconds_capture,mpi_ranks,mesh_path,mesh_nodes,mesh_elements,unknowns,n_q,n_int,solver_type,linear_tolerance,linear_max_iterations,pc_backend,newton_stopping_criterion,newton_stopping_tol,init_newton_stopping_criterion,init_newton_stopping_tol,continuation_d_lambda_diff_scaled_min,accepted_steps,omega_last,lambda_last,umax_last,omega_monotone,lambda_monotone,reached_omega_target,lambda_at_omega_target,umax_at_omega_target,stop_reason,step_newton_iterations_total,step_linear_iterations_total,max_step_newton_iterations,max_step_linear_iterations,attempt_count_total,error,traceback
p1_q01,P1,1,6700000.0,success,0,False,5.273363678003079,1.336466829001438,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,1,18419,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.899271569774563,2.042252355234863,True,True,True,1.899271569774563,2.042252355234863,finished,34.0,324.0,5.0,80.0,9.0,,
p1_q04,P1,4,6700000.0,success,0,False,6.626643285009777,1.8503641260031145,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,4,73676,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.899271569774388,2.042252355323099,True,True,True,1.899271569774388,2.042252355323099,finished,34.0,324.0,5.0,80.0,9.0,,
p1_q11,P1,11,6700000.0,success,0,False,9.786822274996666,4.095171806999133,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,11,202609,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.8992715697747569,2.0422523552276064,True,True,True,1.8992715697747569,2.0422523552276064,finished,34.0,324.0,5.0,80.0,9.0,,
p1_q24,P1,24,6700000.0,success,0,False,16.704343404999236,8.451214500004426,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,24,442056,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.899271569774826,2.042252355245762,True,True,True,1.899271569774826,2.042252355245762,finished,34.0,324.0,5.0,80.0,9.0,,
p1_q45,P1,45,6700000.0,success,0,False,32.98805215000175,17.82293443600065,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,45,828855,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.8992715697749205,2.042252355275796,True,True,True,1.8992715697749205,2.042252355275796,finished,34.0,324.0,5.0,80.0,9.0,,
p2_q04,P2,4,6700000.0,success,0,False,70.78438238099625,63.210673410998425,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,4,73676,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.627124110283827,4.862707422143277,True,True,True,1.627124110283827,4.862707422143277,finished,42.0,1238.0,12.0,482.0,8.0,,
p2_q11,P2,11,6700000.0,success,0,False,71.73151316599979,62.43250864300353,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,11,202609,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.630021641972552,4.734628084357293,True,True,True,1.630021641972552,4.734628084357293,finished,41.0,1179.0,9.0,360.0,8.0,,
p2_q24,P2,24,6700000.0,success,0,False,78.74473748699529,65.72378952500003,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,24,442056,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.6304148617005314,4.734964233689841,True,True,True,1.6304148617005314,4.734964233689841,finished,37.0,1058.0,9.0,358.0,8.0,,
p2_q45,P2,45,6700000.0,success,0,False,101.19915996900818,82.05641416599974,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,45,828855,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.6305011215135796,4.720778820544482,True,True,True,1.6305011215135796,4.720778820544482,finished,36.0,1021.0,9.0,364.0,8.0,,
p4_q24,P4,24,6700000.0,success,0,False,3471.2039986919845,3428.0174348260043,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,208549,18419,616322,24,442056,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,absolute_delta_lambda,0.0001,relative_residual,0.0001,0.0001,9,6700000.0,1.5682689099557034,6.594742864652868,True,True,True,1.5682689099557034,6.594742864652868,finished,68.0,3028.0,25.0,1489.0,7.0,,
