run_id,elem_type,quadrature_rule,step,omega,lambda,umax,newton_iterations,linear_iterations,newton_relres_end,newton_relcorr_end,attempt_count,branch_efficiency
p1_q01,P1,1,1,6094705.660537125,1.0,0.8078242034659595,,,,,,
p1_q01,P1,1,2,6106804.875143154,1.1,0.8222379335468787,,,,,,
p1_q01,P1,1,3,6118904.089749183,1.1575630779466537,0.8316484938536456,,,,,,
p1_q01,P1,1,4,6143102.518961241,1.234567207180379,0.8508381377801792,,,,,,
p1_q01,P1,1,5,6167300.9481732985,1.2934023194545368,0.8745144634233767,,,,,,
p1_q01,P1,1,6,6215697.806597414,1.3882802640806682,0.916636993966364,,,,,,
p1_q01,P1,1,7,6264094.66502153,1.467105881738623,0.9548838309849014,,,,,,
p1_q01,P1,1,8,6360888.381869762,1.5987257562939312,1.0226595790605215,,,,,,
p1_q01,P1,1,9,6457682.098717994,1.7062428027364556,1.0800191167625677,,,,,,
p1_q01,P1,1,10,6651269.532414458,1.8658983878777644,1.7600819482075252,,,,,,
p1_q01,P1,1,11,6700000.0,1.899270965027119,2.043228161716555,,,,,,
p1_q04,P1,4,1,6094705.660537125,1.0,0.8078242034659595,,,,,,
p1_q04,P1,4,2,6106804.875143154,1.1,0.8222379335468785,,,,,,
p1_q04,P1,4,3,6118904.089749183,1.1575630779459585,0.8316484938535251,,,,,,
p1_q04,P1,4,4,6143102.518961241,1.2345672071798106,0.8508381377884987,,,,,,
p1_q04,P1,4,5,6167300.9481732985,1.2934023194547093,0.8745144634244062,,,,,,
p1_q04,P1,4,6,6215697.806597414,1.388280264080714,0.916636993964742,,,,,,
p1_q04,P1,4,7,6264094.66502153,1.4671058817383058,0.9548838309853966,,,,,,
p1_q04,P1,4,8,6360888.381869762,1.5987257562941035,1.0226595790672552,,,,,,
p1_q04,P1,4,9,6457682.098717994,1.706242802736612,1.0800191167593696,,,,,,
p1_q04,P1,4,10,6651269.532414458,1.865898387878118,1.760081948290659,,,,,,
p1_q04,P1,4,11,6700000.0,1.899270965027048,2.0432281618121326,,,,,,
p1_q11,P1,11,1,6094705.660536918,1.0,0.8078242034659593,,,,,,
p1_q11,P1,11,2,6106804.875142948,1.1,0.8222379335468788,,,,,,
p1_q11,P1,11,3,6118904.089748978,1.1575630779444035,0.8316484938533584,,,,,,
p1_q11,P1,11,4,6143102.5189610375,1.234567207179751,0.8508381377766823,,,,,,
p1_q11,P1,11,5,6167300.948173097,1.2934023194540578,0.8745144634209233,,,,,,
p1_q11,P1,11,6,6215697.806597217,1.3882802640811285,0.9166369939746292,,,,,,
p1_q11,P1,11,7,6264094.665021337,1.4671058817393916,0.9548838309719188,,,,,,
p1_q11,P1,11,8,6360888.381869576,1.5987257562946853,1.0226595790514166,,,,,,
p1_q11,P1,11,9,6457682.098717815,1.706242802732972,1.08001911676817,,,,,,
p1_q11,P1,11,10,6651269.532414294,1.865898387877887,1.7600819482906922,,,,,,
p1_q11,P1,11,11,6700000.0,1.8992709650273656,2.04322816177151,,,,,,
p1_q24,P1,24,1,6094705.660537127,1.0,0.807824203465959,,,,,,
p1_q24,P1,24,2,6106804.875143155,1.1,0.8222379335468779,,,,,,
p1_q24,P1,24,3,6118904.089749184,1.1575630779746566,0.8316484938521984,,,,,,
p1_q24,P1,24,4,6143102.51896124,1.2345672071823637,0.8508381377653139,,,,,,
p1_q24,P1,24,5,6167300.948173296,1.2934023194548896,0.8745144634224601,,,,,,
p1_q24,P1,24,6,6215697.806597408,1.388280264080217,0.9166369939797466,,,,,,
p1_q24,P1,24,7,6264094.66502152,1.4671058817360914,0.954883830974838,,,,,,
p1_q24,P1,24,8,6360888.3818697445,1.5987257562937178,1.0226595790282025,,,,,,
p1_q24,P1,24,9,6457682.098717969,1.7062428027311625,1.080019116754485,,,,,,
p1_q24,P1,24,10,6651269.532414418,1.8658983878768296,1.7600819482914385,,,,,,
p1_q24,P1,24,11,6700000.0,1.8992709650271693,2.0432281618739707,,,,,,
p1_q45,P1,45,1,6094705.660537121,1.0,0.8078242034659597,,,,,,
p1_q45,P1,45,2,6106804.875143149,1.1,0.822237933546878,,,,,,
p1_q45,P1,45,3,6118904.089749177,1.1575630779275017,0.8316484938582421,,,,,,
p1_q45,P1,45,4,6143102.518961233,1.2345672071901874,0.8508381376677164,,,,,,
p1_q45,P1,45,5,6167300.948173289,1.2934023194552853,0.8745144634157633,,,,,,
p1_q45,P1,45,6,6215697.806597401,1.3882802640758238,0.9166369939139236,,,,,,
p1_q45,P1,45,7,6264094.665021514,1.467105881740059,0.9548838310081916,,,,,,
p1_q45,P1,45,8,6360888.381869738,1.5987257562928388,1.0226595790638235,,,,,,
p1_q45,P1,45,9,6457682.098717962,1.7062428027298155,1.0800191167484512,,,,,,
p1_q45,P1,45,10,6651269.532414411,1.8658983878782247,1.7600819483420596,,,,,,
p1_q45,P1,45,11,6700000.0,1.899270965027276,2.0432281617287407,,,,,,
p2_q04,P2,4,1,6215598.529738007,1.0,0.7975085304977114,,,,,,
p2_q04,P2,4,2,6230025.951774204,1.1,0.8154119731839699,,,,,,
p2_q04,P2,4,3,6244453.373810401,1.1605782278588044,0.8303956203704469,,,,,,
p2_q04,P2,4,4,6273308.217882795,1.2466527926365714,0.8549713249369643,,,,,,
p2_q04,P2,4,5,6302163.061955189,1.3138481168750784,0.8742032380749212,,,,,,
p2_q04,P2,4,6,6359872.7500999775,1.4220144575863118,0.9068767251082576,,,,,,
p2_q04,P2,4,7,6417582.438244766,1.509140936944343,0.9404347959731224,,,,,,
p2_q04,P2,4,8,6533001.814534342,1.6079827635373078,1.5248379692147247,,,,,,
p2_q04,P2,4,9,6648421.190823918,1.6233930432066968,3.794420315423653,,,,,,
p2_q04,P2,4,10,6700000.0,1.627003246935932,4.89062239552382,,,,,,
p2_q11,P2,11,1,6214942.103875942,1.0,0.7966572987407926,,,,,,
p2_q11,P2,11,2,6229234.524843296,1.1,0.8149932596280445,,,,,,
p2_q11,P2,11,3,6243526.9458106505,1.159863069243496,0.8299611147854451,,,,,,
p2_q11,P2,11,4,6272111.787745359,1.2449625096160113,0.8546207392536332,,,,,,
p2_q11,P2,11,5,6300696.629680068,1.3114140957698748,0.873839721521231,,,,,,
p2_q11,P2,11,6,6357866.313549486,1.418748565612532,0.905988594789906,,,,,,
p2_q11,P2,11,7,6415035.997418904,1.5057265844806746,0.9388019492383952,,,,,,
p2_q11,P2,11,8,6529375.365157739,1.608525814231376,1.429803203713922,,,,,,
p2_q11,P2,11,9,6643714.732896575,1.625528862279938,3.6016217911011994,,,,,,
p2_q11,P2,11,10,6700000.0,1.6299674032744331,4.749059057003265,,,,,,
p2_q24,P2,24,1,6215090.684166521,1.0,0.7967732107304052,,,,,,
p2_q24,P2,24,2,6229215.04863296,1.1,0.8147084126007504,,,,,,
p2_q24,P2,24,3,6243339.413099399,1.1598726429835904,0.8294694816670328,,,,,,
p2_q24,P2,24,4,6271588.142032277,1.2442981325932498,0.8541942511107292,,,,,,
p2_q24,P2,24,5,6299836.870965155,1.3100178055420326,0.8734101159812526,,,,,,
p2_q24,P2,24,6,6356334.328830911,1.416167508105937,0.905423191849878,,,,,,
p2_q24,P2,24,7,6412831.786696667,1.5026682955367787,0.9368640112760758,,,,,,
p2_q24,P2,24,8,6525826.702428179,1.6078726945338238,1.3733697781323182,,,,,,
p2_q24,P2,24,9,6638821.618159691,1.6254740223854545,3.4952220947083448,,,,,,
p2_q24,P2,24,10,6700000.0,1.630392265652324,4.733530952642474,,,,,,
p2_q45,P2,45,1,6215071.893175706,1.0,0.7968323456601267,,,,,,
p2_q45,P2,45,2,6229273.384855617,1.1,0.8148480230708238,,,,,,
p2_q45,P2,45,3,6243474.876535527,1.1600514055766522,0.8296412588164251,,,,,,
p2_q45,P2,45,4,6271877.859895349,1.2451031126226386,0.8542367970755478,,,,,,
p2_q45,P2,45,5,6300280.84325517,1.3111107120832672,0.8735786560901847,,,,,,
p2_q45,P2,45,6,6357086.809974812,1.4174337582905143,0.9059370147418287,,,,,,
p2_q45,P2,45,7,6413892.776694454,1.5041434843787864,0.9381275690205092,,,,,,
p2_q45,P2,45,8,6527504.710133739,1.6084240424705152,1.396950704522388,,,,,,
p2_q45,P2,45,9,6641116.643573023,1.6257500309665145,3.5427535412123543,,,,,,
p2_q45,P2,45,10,6700000.0,1.6304555001490728,4.735604052957527,,,,,,
p4_q24,P4,24,1,6216689.536020599,1.0,0.7975083095202818,,,,,,
p4_q24,P4,24,2,6230832.807384944,1.1,0.815439449685166,,,,,,
p4_q24,P4,24,3,6244976.078749288,1.160364429421429,0.8293593133897269,,,,,,
p4_q24,P4,24,4,6273262.621477976,1.2459587520510738,0.8530094004633891,,,,,,
p4_q24,P4,24,5,6301549.164206665,1.3122200129582362,0.8718337526852954,,,,,,
p4_q24,P4,24,6,6358122.249664042,1.4179602011657806,0.904024246911557,,,,,,
p4_q24,P4,24,7,6414695.335121419,1.503113650068148,0.9322669628390576,,,,,,
p4_q24,P4,24,8,6527841.506036174,1.5654590926071612,2.3390754852154187,,,,,,
p4_q24,P4,24,9,6700000.0,1.567974781615807,6.520004069893654,,,,,,
p4_q45,P4,45,1,6216728.332395667,1.0,,,,,,,
p4_q45,P4,45,2,6230746.837064443,1.1,,,,,,,
p4_q45,P4,45,3,6244765.341733219,1.1598945599054078,0.8292015476227897,22.0,816.0,5.328758258281681e-05,6.5651595097418245e-06,1.0,
p4_q45,P4,45,4,6272802.351070771,1.2446820612820724,0.8527884175953423,45.0,2478.0,9.961203120385906e-05,8.314535481689528e-05,1.0,
p4_q45,P4,45,5,6300839.360408323,1.3106631396186743,0.8713857912015485,26.0,1316.0,8.619426087326709e-05,1.5324194259049277e-05,1.0,
p4_q45,P4,45,6,6356913.379083427,1.4159760796483545,0.903465117758226,21.0,1386.0,9.997915192691364e-05,4.329976551726172e-07,1.0,
p4_q45,P4,45,7,6412987.39775853,1.5008484331352518,0.9314823125133576,26.0,1792.0,9.804141960853784e-05,0.0001542306053628,1.0,
p4_q45,P4,45,8,6525135.435108738,1.5666436598896591,2.2262125080397697,200.0,24386.0,0.0008771424379603,2.5904140392206107e-16,1.0,
