run_id,elem_type,quadrature_rule,omega_target,status,returncode,timed_out,runtime_seconds_wall,runtime_seconds_capture,mpi_ranks,mesh_path,mesh_nodes,mesh_elements,unknowns,n_q,n_int,solver_type,linear_tolerance,linear_max_iterations,pc_backend,newton_stopping_criterion,newton_stopping_tol,init_newton_stopping_criterion,init_newton_stopping_tol,continuation_d_lambda_diff_scaled_min,accepted_steps,omega_last,lambda_last,umax_last,omega_monotone,lambda_monotone,reached_omega_target,lambda_at_omega_target,umax_at_omega_target,stop_reason,step_newton_iterations_total,step_linear_iterations_total,max_step_newton_iterations,max_step_linear_iterations,attempt_count_total,error,traceback
p1_q01,P1,1,6700000.0,success,0,False,10.002603754022855,1.3481824650079943,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,1,18419,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.899270965027119,2.043228161716555,True,True,True,1.899270965027119,2.043228161716555,omega_max_stop,40.0,298.0,6.0,82.0,9.0,,
p1_q04,P1,4,6700000.0,success,0,False,10.001961809000932,1.6705188030027784,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,4,73676,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.899270965027048,2.0432281618121326,True,True,True,1.899270965027048,2.0432281618121326,omega_max_stop,40.0,298.0,6.0,82.0,9.0,,
p1_q11,P1,11,6700000.0,success,0,False,10.001950820005732,3.539286320999963,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,11,202609,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.8992709650273656,2.04322816177151,True,True,True,1.8992709650273656,2.04322816177151,omega_max_stop,40.0,298.0,6.0,82.0,9.0,,
p1_q24,P1,24,6700000.0,success,0,False,20.00366759300232,8.272508147987537,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,24,442056,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.8992709650271693,2.0432281618739707,True,True,True,1.8992709650271693,2.0432281618739707,omega_max_stop,40.0,298.0,6.0,82.0,9.0,,
p1_q45,P1,45,6700000.0,success,0,False,30.00631669402356,15.90312253200682,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,3845,18419,10859,45,828855,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,11,6700000.0,1.899270965027276,2.0432281617287407,True,True,True,1.899270965027276,2.0432281617287407,omega_max_stop,40.0,298.0,6.0,82.0,9.0,,
p2_q04,P2,4,6700000.0,success,0,False,85.03601129999151,73.22811953999917,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,4,73676,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.627003246935932,4.89062239552382,True,True,True,1.627003246935932,4.89062239552382,omega_max_stop,70.0,1637.0,17.0,540.0,8.0,,
p2_q11,P2,11,6700000.0,success,0,False,80.0318979289732,70.83360267500393,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,11,202609,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.6299674032744331,4.749059057003265,True,True,True,1.6299674032744331,4.749059057003265,omega_max_stop,66.0,1517.0,13.0,425.0,8.0,,
p2_q24,P2,24,6700000.0,success,0,False,80.01935711500118,67.26669231400592,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,24,442056,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.630392265652324,4.733530952642474,True,True,True,1.630392265652324,4.733530952642474,omega_max_stop,57.0,1219.0,11.0,357.0,8.0,,
p2_q45,P2,45,6700000.0,success,0,False,110.0290525680175,87.52680248601246,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,27605,18419,80362,45,828855,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,10,6700000.0,1.6304555001490728,4.735604052957527,True,True,True,1.6304555001490728,4.735604052957527,omega_max_stop,59.0,1261.0,11.0,373.0,8.0,,
p4_q24,P4,24,6700000.0,success,0,False,6733.663426492014,6692.249148083007,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,208549,18419,616322,24,442056,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,9,6700000.0,1.567974781615807,6.520004069893654,True,True,True,1.567974781615807,6.520004069893654,omega_max_stop,150.0,6898.0,62.0,2887.0,7.0,,
p4_q45,P4,45,6700000.0,incomplete,1,False,47391.13403564898,47391.13403564898,8,/home/beremi/repos/slope_stability-1/meshes/3d_hetero_ssr/SSR_hetero_ada_L1.msh,0,0,0,45,0,PETSC_MATLAB_DFGMRES_HYPRE_NULLSPACE,0.1,100,hypre,relative_residual,0.0001,relative_residual,0.0001,0.0001,8,6525135.435108738,1.5666436598896591,2.2262125080397697,True,True,False,,,newton_maxit_last_step,340.0,32174.0,200.0,24386.0,6.0,Published after terminating reduced-step retry; freeze accepted branch and classify final full-target solve as maxit failure.,
