case_id,case_label,level_id,level_label,level_order,engine,variant,step,newton_iterations,linear_iterations,linear_solve_time,linear_preconditioner_time,linear_orthogonalization_time,newton_relres_end,output_dir
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,1,3.0,22.0,2.3219484940200346,0.7428181110008154,0.040972201008116826,0.0017293475108558418,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,2,4.0,29.0,3.1544095700082835,0.9652893660095287,0.09026199899381027,0.0004791812640236488,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,3,4.0,27.0,2.957823268006905,1.010767787010991,0.11303540000517387,0.0007044622394361822,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,4,5.0,39.0,4.334101593995001,1.2667035539925564,0.20548711701121647,0.0006925876786852644,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,5,5.0,36.0,3.9146219090471277,1.2598715010099113,0.21145133198297117,0.0004667306557542647,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,6,10.0,136.0,15.616950789015391,2.7770310189953307,0.7324581389839295,0.0003042275800301751,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,7,9.0,99.0,10.834109356001136,2.2722138420067495,0.6818991680047475,0.0008427360054598603,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,8,6.0,52.0,5.971390826976858,1.5424575270008063,0.4077974969986826,0.0010243690852642841,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,9,14.0,163.0,18.30948611300846,3.5789067320147296,1.4159660859877476,0.00036322390240867993,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,10,7.0,60.0,6.785287927981699,1.7793418640212622,0.521598551000352,0.0013794965002345496,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,11,3.0,17.0,1.9068774250190472,0.7472474050009623,0.19507808101479895,0.008232481560959586,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,12,2.0,15.0,1.7277786689955974,0.5195325410022633,0.149976501983474,0.009037149865827425,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,1,6.0,28.0,1.7016,2.0543180000000003,0.10528100000000001,1.092136478360616e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,2,6.0,29.0,1.7286100000000006,2.0500109999999996,0.114836,2.232572470299332e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,3,5.0,24.0,1.4803319999999998,1.6886659999999996,0.09032999999999997,9.618173749347405e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,4,9.0,44.0,2.747542,3.384698,0.383888,8.668726116429312e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,5,7.0,43.0,2.672155,2.550263000000001,0.24686000000000008,2.1761727388637167e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,6,11.0,91.0,5.746929999999997,4.371396000000001,0.7170999999999998,9.281996229194565e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,7,14.0,107.0,6.993779,5.897311999999999,1.2185479999999997,2.2225036609855394e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,8,11.0,83.0,5.395212000000001,4.554554000000003,0.7727460000000002,4.601365126152171e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,9,19.0,167.0,10.845963000000001,8.244506999999999,2.0702260000000003,7.02394521597364e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
