case_id,case_label,level_id,level_label,level_order,engine,variant,phase,mesh_nodes,mesh_elements,unknowns,runtime_seconds,accepted_steps,final_lambda,final_omega,stop_reason,omega_max_stop,d_lambda_diff_scaled_min,newton_residual_tol,newton_stopping_criterion,newton_stopping_tol,output_dir
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,main,27605,18419,80362,334.248333,14,1.6661040166793588,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,main,27605,18419,80362,122.46028973499779,14,1.6668545373634573,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,absolute_delta_lambda,0.0001,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,main,27605,18419,80362,247.3037909859995,14,1.6660864673533355,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,smoke,smoke,27605,18419,80362,227.24034217100416,14,1.6660864673533355,12000000.0,omega_max_stop,12000000.0,0.01,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/smoke_petsc_smoke
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,main,49797,33935,145298,700.771651,14,1.6439068466853015,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,main,49797,33935,145298,152.8647814799915,14,1.645046695981346,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,absolute_delta_lambda,0.0001,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,main,49797,33935,145298,365.26229233700724,14,1.6438912765427232,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,main,90629,62795,265739,1645.27309,14,1.6243437320253642,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,main,90629,62795,265739,239.82152839600167,14,1.6253045638695127,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,absolute_delta_lambda,0.0001,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,main,main,90629,62795,265739,645.948802371,14,1.624321428191278,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L4,L4,3,matlab,main,main,166394,117200,490015,4399.088705,13,1.6079883664013932,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L4/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L4,L4,3,petsc,delta_lambda,main,166394,117200,490015,473.9985226299905,13,1.608379847344072,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,absolute_delta_lambda,0.0001,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L4/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L4,L4,3,petsc,main,main,166394,117200,490015,1430.2238617429975,13,1.6080495486417032,12000000.0,omega_max_stop,12000000.0,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L4/main_petsc_main
homo_3d,Homogeneous 3D SSR,L1,L1,0,matlab,main,main,25591,16615,71947,261.781991,12,1.2437370686286422,3565.0194431436125,omega_max_stop,3565.0194431436125,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/homo_3d/L1/main_matlab_main
homo_3d,Homogeneous 3D SSR,L1,L1,0,petsc,main,main,25591,16615,71947,210.4873335930024,12,1.2437168110874879,3565.0194431436125,omega_max_stop,3565.0194431436125,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/homo_3d/L1/main_petsc_main
homo_3d,Homogeneous 3D SSR,L1,L1,0,petsc,smoke,smoke,25591,16615,71947,192.0418787210001,12,1.2437168110874879,3565.0194431436125,d_lambda_diff_scaled_min,1000000.0,0.01,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/homo_3d/L1/smoke_petsc_smoke
homo_3d,Homogeneous 3D SSR,L2,L2,1,matlab,main,main,48449,32985,138382,759.187187,12,1.2207958778737962,3565.0194431436125,omega_max_stop,3565.0194431436125,0.0,0.0001,relative_residual,,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/homo_3d/L2/main_matlab_main
